poster,post_count,mean_votes,mean_comments,total_votes,total_comments,posts_with_comments_count,conversations_sparked,is_usver,ever_usver,percent_of_posts_with_comments
CharleyMa,1,2.0,0.0,2,0,0,0,False,False,0.0
Chartspotting,3,1.0,0.33,3,1,1,0,False,False,0.33
Chikodi,24,1.46,0.33,35,8,4,0,False,False,0.17
CipherHaderach,1,1.0,0.0,1,0,0,0,False,False,0.0
CircleUp,2,2.0,0.0,4,0,0,0,False,False,0.0
CliptoneApp,1,2.0,0.0,2,0,0,0,False,False,0.0
ConradEgusa,9,2.56,0.67,23,6,3,0,False,False,0.33
Cookie,11,1.64,0.18,18,2,1,0,False,False,0.09
CortneyJordan4,1,2.0,0.0,2,0,0,0,False,False,0.0
Cumulonimbus_ca,1,1.0,0.0,1,0,0,0,False,False,0.0
CynthiaSchames,2,6.0,2.5,12,5,2,0,False,False,1.0
DanReich,1,1.0,0.0,1,0,0,0,False,False,0.0
DanielleGeva,6,2.5,0.17,15,1,1,0,False,False,0.17
DanielleMorrill,3,2.67,0.67,8,2,2,0,False,False,0.67
DelivrToMe,1,2.0,1.0,2,1,1,0,False,False,1.0
Designbookcom,1,1.0,0.0,1,0,0,0,False,False,0.0
DigitalWoman,1,6.0,1.0,6,1,1,0,False,False,1.0
DougCraver,1,1.0,0.0,1,0,0,0,False,False,0.0
DouglasGan,1,1.0,0.0,1,0,0,0,False,False,0.0
Drew_am_I,1,2.0,0.0,2,0,0,0,False,False,0.0
DustinWStout,1,0.0,0.0,0,0,0,0,False,False,0.0
EAWharton,47,2.79,1.83,131,86,18,6,False,False,0.38
EDWARDPURISKI,1,1.0,0.0,1,0,0,0,False,False,0.0
Ecquios,1,1.0,1.0,1,1,1,0,False,False,1.0
EleanorHaas,1,1.0,0.0,1,0,0,0,False,False,0.0
EllieAsksWhy,1,0.0,1.0,0,1,1,0,False,False,1.0
EricFriedman,5,2.8,0.0,14,0,0,0,False,True,0.0
Everette,19,7.68,1.0,146,19,7,1,False,False,0.37
FMEextension,1,1.0,0.0,1,0,0,0,False,False,0.0
FakeValley,57,1.58,0.26,90,15,9,0,False,False,0.16
FeyChrisfey,1,1.0,0.0,1,0,0,0,False,False,0.0
FictiveCameron,2,2.0,0.0,4,0,0,0,False,False,0.0
FiftyApp,2,1.0,0.0,2,0,0,0,False,False,0.0
Flooting_game,1,1.0,0.0,1,0,0,0,False,False,0.0
FundersClub,3,2.33,1.33,7,4,1,0,False,False,0.33
GameMaster2014,1,1.0,0.0,1,0,0,0,False,False,0.0
GeoffreyWeg,10,4.5,3.3,45,33,5,3,False,False,0.5
GeorgeDearing,5,1.6,0.6,8,3,1,0,False,False,0.2
Get_Scorecard,2,1.5,0.0,3,0,0,0,False,False,0.0
GlobeconTweets,1,2.0,0.0,2,0,0,0,False,False,0.0
GreenGremlim,1,1.0,1.0,1,1,1,0,False,False,1.0
HPY,2,3.5,1.5,7,3,2,0,False,False,1.0
HWTrek,1,3.0,0.0,3,0,0,0,False,False,0.0
HanaAbaza,1,6.0,3.0,6,3,1,0,False,False,1.0
HarrisonWeber,47,6.0,1.74,282,82,27,4,False,False,0.57
HoodaSaurabh,1,6.0,2.0,6,2,1,0,False,False,1.0
HtMcBub,7,3.0,1.0,21,7,5,0,False,False,0.71
HubStaff,1,2.0,0.0,2,0,0,0,False,False,0.0
ICdotCom,2,2.0,0.0,4,0,0,0,False,False,0.0
Informedtrades,1,1.0,0.0,1,0,0,0,False,False,0.0
Instamour,1,1.0,1.0,1,1,1,0,False,False,1.0
IshanPuri2,1,1.0,0.0,1,0,0,0,False,False,0.0
JDSupra,1,2.0,0.0,2,0,0,0,False,False,0.0
JHowardBoudinet,2,2.5,0.5,5,1,1,0,False,False,0.5
JasonGelman,4,3.75,0.75,15,3,2,0,False,False,0.5
